"CustomerID","CustomerType","Registrationdate","Gender","Age","fallbonus","Income"
1,4,2021-09-30,1,8,0,1
2,4,2022-04-06,1,27,0,1
3,3,2020-05-24,0,7,0,2
4,4,2021-09-21,0,11,0,2
5,4,2021-07-08,1,16,1,1
6,1,2022-03-08,0,49,0,3
7,2,2018-07-24,0,8,0,1
8,4,2021-02-24,0,50,1,3
9,1,2016-10-22,1,34,0,2
10,1,2019-01-17,0,17,0,3
11,3,2021-02-24,1,39,0,2
12,1,2021-09-04,1,15,0,2
13,3,2019-10-29,1,56,0,3
14,1,2022-04-29,0,19,1,1
15,2,2022-04-01,0,32,1,1
16,2,2021-07-20,0,28,0,3
17,2,2022-02-23,1,12,0,3
18,4,2022-01-27,0,19,1,3
19,3,2018-09-19,0,21,0,2
20,1,2022-02-24,0,9,1,3
21,3,2022-02-15,0,10,0,3
22,1,2022-02-22,1,79,1,3
23,1,2022-03-23,0,24,0,3
24,1,2022-03-15,0,25,0,3
25,3,2022-03-19,0,41,0,2
26,1,2022-01-11,1,34,0,3
27,3,2022-03-23,1,37,1,3
28,2,2022-02-08,0,21,0,2
29,1,2022-02-03,0,22,0,2
30,4,2021-04-19,0,35,0,2
31,4,2020-01-25,1,23,0,1
32,3,2017-12-08,1,26,1,1
33,3,2021-03-27,0,25,0,1
34,4,2022-02-15,0,9,1,2
35,4,2020-10-03,1,43,1,2
36,2,2022-03-06,1,30,0,3
37,4,2022-04-09,0,73,1,2
38,1,2019-05-10,0,43,1,3
39,3,2022-02-18,0,8,0,2
40,2,2022-03-31,1,29,0,1
41,4,2021-11-07,0,43,1,2
42,4,2021-11-28,0,15,1,2
43,1,2022-03-20,0,20,0,1
44,4,2022-03-03,1,51,0,2
45,2,2021-06-05,0,22,0,1
46,3,2022-03-11,1,12,0,2
47,4,2022-03-24,1,28,0,3
48,1,2021-11-28,1,14,0,3
49,4,2020-04-10,0,49,1,1
50,4,2022-02-27,0,18,0,1
51,2,2022-02-27,1,21,0,2
52,2,2019-11-15,0,29,0,2
53,2,2021-03-21,1,29,0,3
54,1,2022-01-21,0,31,0,3
55,1,2022-03-22,0,50,0,2
56,4,2021-08-22,1,18,0,1
57,4,2020-01-04,0,71,0,2
58,1,2022-02-25,0,17,0,2
59,1,2022-04-19,0,31,0,1
60,2,2022-03-22,1,11,0,3
61,1,2017-05-02,0,29,0,2
62,4,2017-08-20,1,13,1,3
63,1,2022-03-21,0,10,0,3
64,4,2022-03-23,0,11,0,3
65,3,2022-02-16,1,39,0,2
66,2,2022-03-23,0,21,1,2
67,3,2021-04-12,1,23,0,1
68,1,2021-12-28,0,22,0,1
69,3,2018-04-27,0,16,0,2
70,2,2017-05-17,1,33,0,2
71,1,2022-03-24,0,33,1,2
72,4,2021-07-22,1,10,0,3
73,4,2022-01-16,1,39,0,3
74,1,2021-04-11,0,19,1,2
75,4,2019-12-02,0,23,0,3
76,2,2021-02-02,1,22,0,1
77,3,2021-02-15,0,50,0,1
78,3,2022-04-28,1,28,0,2
79,3,2019-02-13,0,26,0,1
80,3,2022-04-18,0,40,0,2
81,2,2022-01-04,0,12,1,3
82,4,2019-04-03,1,28,0,3
83,1,2021-04-07,1,43,0,1
84,4,2022-03-28,0,8,0,2
85,2,2020-09-12,0,15,0,3
86,1,2018-09-21,1,26,0,1
87,1,2021-11-25,1,30,0,3
88,3,2022-02-11,0,44,0,2
89,2,2022-04-23,1,29,0,1
90,4,2022-04-19,0,36,0,2
91,3,2022-03-09,1,6,0,3
92,3,2022-04-01,1,34,1,3
93,3,2022-03-18,0,32,0,3
94,2,2022-03-17,0,73,0,1
95,2,2022-03-09,0,14,0,1
96,1,2022-04-05,1,11,1,3
97,3,2021-06-16,0,26,0,2
