"PlayID","Date","CustomerID","Experience","Huntingcabins","Trainingschools","Huntinggrounds","Social","Monsters","Distance","Duration"
1,2022-09-01,2,3317,18,3,0,1,16,8.16650961788634,81.5336636218884
2,2022-09-01,5,5673,12,4,3,2,11,3.23104351630665,50.6796353554804
3,2022-09-01,9,5320,17,11,0,0,43,1.19742324321358,20.6918805210551
4,2022-09-01,10,7483,12,9,3,5,19,1.32555488176456,79.4078589252368
5,2022-09-01,17,4785,14,8,1,0,16,6.85450733703518,25.0893413582885
6,2022-09-01,20,2942,15,5,0,0,13,5.42470689823121,23.9362973857597
7,2022-09-01,22,7877,12,12,4,0,13,2.27455709533581,77.6505391363145
8,2022-09-01,30,5447,22,9,1,0,28,1.4687119400722,22.6368462314356
9,2022-09-01,35,3758,13,5,1,1,12,3.07718259400922,52.7730424013136
10,2022-09-01,46,2807,15,5,0,0,18,1.57298629573084,24.5916196399839
11,2022-09-01,48,2714,12,4,0,2,15,1.64064214980035,115.092822669615
12,2022-09-01,49,3206,18,2,0,0,21,8.5617775040452,61.9205234964799
13,2022-09-01,52,4702,20,12,0,0,20,3.02489192690614,47.6286784166751
14,2022-09-01,53,5591,16,15,0,0,35,0.407768254652932,34.6633455211165
15,2022-09-01,54,4345,14,4,1,2,24,2.44903407809687,26.2029384452713
16,2022-09-01,57,2236,13,2,0,0,16,3.86070040741013,41.8409714729375
17,2022-09-01,59,5233,22,8,0,2,12,15.3338685187287,56.9197164831072
18,2022-09-01,62,3437,18,9,0,0,13,0.873847828776593,31.9115000895227
19,2022-09-01,64,3588,13,9,0,1,17,0.879387789233145,107.975646596274
20,2022-09-01,65,3726,16,7,0,0,26,2.25734050391763,27.3563530524464
21,2022-09-01,69,3690,19,8,0,0,11,5.90228860424654,53.1396981348351
22,2022-09-01,71,3640,22,4,0,0,29,2.90393417288554,19.2227635893579
23,2022-09-01,73,6658,18,9,1,2,22,14.5756403482716,68.062669112845
24,2022-09-01,80,6013,13,12,2,0,13,3.12866633567476,33.6422699840459
25,2022-09-01,82,4172,18,9,0,0,25,2.22404558857659,25.6076449272424
26,2022-09-01,85,4188,22,8,0,0,28,0.881829999467722,30.0042312122407
27,2022-09-01,91,3774,25,4,0,1,28,1.23536884363285,11.4649095605475
28,2022-09-01,92,5996,11,11,2,2,16,0.455038356476323,80.951811029067
29,2022-09-01,95,4875,16,5,2,0,11,5.24887295913924,62.1219960059557
30,2022-09-01,99,4332,18,10,0,0,22,3.32089310784434,44.5053422393819
31,2022-09-01,100,7086,10,11,3,3,14,0.858929699789149,108.229878198423
32,2022-09-01,106,4491,17,8,1,0,18,1.40667710938815,33.0858494665281
33,2022-09-01,110,7907,15,6,5,1,12,1.56622159013949,141.446054609923
34,2022-09-01,111,3981,20,4,1,1,15,2.30912434215601,29.8007070084316
35,2022-09-01,114,3569,12,4,1,1,18,0.691628386772936,100.181799394281
36,2022-09-01,117,5052,19,14,0,0,14,6.01516247527699,27.9317948496399
37,2022-09-01,119,4451,16,10,0,0,20,6.51242700376598,48.2900675586546
38,2022-09-01,122,2328,11,2,0,2,17,1.28111709870722,26.2903083827199
39,2022-09-01,123,5051,10,13,1,1,12,1.50966345372366,203.283452324882
40,2022-09-01,133,5405,15,13,0,0,37,2.04780252692407,51.211444586399
41,2022-09-01,137,5062,17,9,1,0,22,3.11871234966747,41.3115574941564
42,2022-09-01,139,2956,13,5,0,1,20,1.05913150815532,29.5943899616888
43,2022-09-01,145,3872,14,6,0,3,18,4.71785940204585,36.0409215758798
44,2022-09-01,149,4933,24,7,0,1,22,10.3284901537397,81.3707872167897
45,2022-09-01,150,4177,17,5,0,0,30,8.26630012335889,84.6388488862854
46,2022-09-01,151,6954,11,3,4,4,18,1.03704923370045,84.2635287712639
47,2022-09-01,152,4012,22,6,0,0,31,1.6155113664962,31.3682131856311
